名称与别名,类别,对应Skill,核对入口,本次证据状态,边界
Chinagoods；义乌中国小商品城,批发产业,Chinagoods小商品选样图册助手,https://www.chinagoods.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
搜款网；VVIC,批发产业,搜款网档口款色素材助手,https://www.vvic.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
17货源；一起做网店；17网,批发产业,17货源代理上新图包助手,https://www.17zwd.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
网商园；杭州服装货源,批发产业,网商园服装拿货细节图助手,https://www.wsy.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
开山网；鞋子货源,批发产业,开山网鞋款尺码素材助手,https://www.k3.cn/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
一亩田；农产品批发,批发产业,一亩田产地分级商品图助手,https://www.ymt.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
惠农网；惠农；农批通,批发产业,惠农网农货规格分级图助手,https://www.cnhnb.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
震坤行；MRO采购,批发产业,震坤行工业耗材识别图助手,https://www.zkh.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
京东工业；京东工品,批发产业,京东工业耗材替换规格图助手,https://industry.jd.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
西域；EHSY,批发产业,西域工业采购商品资料整编助手,https://www.ehsy.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
美团外卖；美团商家,即时零售,美团外卖菜品分量展示助手,https://e.waimai.meituan.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
美团闪购；闪电仓；品牌通,即时零售,美团闪购包装规格识别助手,https://brandhub.meituan.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
大众点评；点评；必吃榜,本地生活,大众点评门店套餐实拍增补助手,https://www.dianping.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
饿了么；饿了么商家版,即时零售,饿了么单品与套餐配图助手,https://h5.ele.me/service/cooperation/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
淘宝闪购；淘宝小时达,即时零售,淘宝闪购即时消费场景图助手,https://www.taobao.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
京东秒送；京东到家；京东小时购,即时零售,京东秒送多规格商品图校验助手,https://opendj.jd.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
京东外卖；京东七鲜外卖,即时零售,京东外卖出餐图片整理助手,https://www.jd.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
盒马；盒马鲜生；盒马奥莱,零售供货,盒马供货商品图文资料助手,https://www.freshippo.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
小象超市；美团买菜,零售供货,小象超市供货包装展示助手,https://www.meituan.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
叮咚买菜；叮咚,零售供货,叮咚买菜生鲜等级说明助手,https://www.100.me/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
朴朴超市；朴朴,零售供货,朴朴商品净含量展示助手,https://www.pupumall.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
多点；Dmall；多点新鲜,零售SaaS,多点商超商品视觉统一助手,https://www.dmall.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
永辉；永辉生活；永辉超市,零售供货,永辉生鲜包装与散装图卡助手,https://www.yonghui.com.cn/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
大润发；大润发优鲜,零售供货,大润发商超促销素材助手,https://www.rt-mart.com.cn/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
有赞；有赞微商城；爱逛,私域电商,有赞商城分享卡与详情联动助手,https://www.youzan.com/wsc,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
微盟；微盟微商城,私域电商,微盟导购商品图卡助手,https://www.weimob.com/marketing/wmwsc,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
微店；口袋微店,私域电商,微店预售商品展示与说明助手,https://www.weidian.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
群接龙；社群接龙团购,私域电商,群接龙团品开团素材助手,https://www.qunjielong.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
快团团；快团,私域电商,快团团帮卖素材统一助手,https://www.pinduoduo.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
团购接龙；社区团购；团长,私域电商,社区团购到货取货图卡助手,https://www.weidian.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
小鹅通；知识店铺,私域电商,小鹅通课程商品封面助手,https://www.xiaoe-tech.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
微信小程序商城；公众号商城；微信商城,私域电商,小程序商城分享裁切适配助手,https://developers.weixin.qq.com/miniprogram/dev/framework/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
支付宝小程序；支付宝生活号,私域电商,支付宝商家活动图卡助手,https://open.alipay.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
得物；毒APP,垂直电商,得物潮品细节保真图助手,https://www.dewu.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
闲鱼；咸鱼二手；闲鱼小店,二手电商,闲鱼成色与瑕疵说明图助手,https://www.goofish.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
转转；二手数码,二手电商,转转二手数码配件展示助手,https://www.zhuanzhuan.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
孔夫子旧书网；孔网,垂直电商,孔网旧书品相说明图助手,https://www.kongfz.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
蘑菇街；蘑菇街直播,垂直电商,蘑菇街穿搭款式说明助手,https://www.mogujie.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
B站会员购；哔哩哔哩会员购,垂直电商,会员购手办配件与比例图助手,https://mall.bilibili.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
文轩网；新华文轩,垂直电商,文轩图书采购套系图助手,https://www.winxuan.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
中图网；中国图书网,垂直电商,中图网图书品类专题素材助手,https://www.bookschina.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
携程；携程商家；携程酒店,文旅电商,携程酒店房型差异图助手,https://www.ctrip.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
飞猪；飞猪旅行,文旅电商,飞猪套餐权益图文助手,https://www.fliggy.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
同程；同程旅行,文旅电商,同程周边游套餐素材助手,https://www.ly.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
去哪儿；去哪儿网,文旅电商,去哪儿民宿设施说明图助手,https://www.qunar.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
HKTVmall；香港电视购物,港澳台及中文站,HKTVmall繁体商品图文助手,https://www.hktvmall.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
momo；富邦媒；momo购物网,港澳台及中文站,momo商品繁体规格卡助手,https://www.momoshop.com.tw/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
PChome；PChome24h,港澳台及中文站,PChome数码接口说明图助手,https://24h.pchome.com.tw/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
SHOPLINE；Shopline独立站,中文独立站,SHOPLINE商品页视觉交付助手,https://www.shopline.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
天猫超市；猫超,品牌供货渠道,天猫超市家庭装份量展示助手,https://chaoshi.tmall.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
京东慧采；企业购,企业采购,京东慧采企业采购规格卡助手,https://b.jd.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
小米有品；有品,品质电商,小米有品产品设计细节展示助手,https://www.xiaomiyoupin.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
网易严选；严选,品牌供货渠道,网易严选材质与工艺说明助手,https://you.163.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
七鲜；7FRESH；京东七鲜,即时零售,七鲜生鲜份量与烹饪状态图助手,https://7fresh.m.jd.com/,已读取官方正文或官方搜索摘要；具体账号图规待确认,内容适配≠原生对接；不保证开放招商
美菜；美菜网,餐饮采购,美菜餐饮原料出品参考图助手,https://www.meicai.cn/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
中国网库；网库；单品产业网,批发产业,网库单品采购信息图助手,https://www.99114.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
山姆；山姆会员商店；Sam's Club,品牌供货渠道,山姆大包装与储存说明图助手,https://www.samsclub.cn/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
亚马逊；Amazon；A加页面；A+,中国卖家出海,亚马逊A加模块与白底图交付助手,https://sell.amazon.com/tools/a-content,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
速卖通；AliExpress,中国卖家出海,速卖通多语规格图校对助手,https://sell.aliexpress.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
Temu；拼多多跨境,中国卖家出海,Temu供货多规格图包助手,https://seller.kuajingmaihuo.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
SHEIN；希音,中国卖家出海,SHEIN服饰细节与尺码素材助手,https://seller.shein.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
Shopee；虾皮,中国卖家出海,虾皮本地语商品套图助手,https://shopee.cn/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
Lazada；来赞达,中国卖家出海,Lazada移动端商详模块助手,https://www.lazada.cn/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
TikTok Shop；TikTok电商；TK小店,中国卖家出海,TikTok Shop无口播演示素材助手,https://seller.tiktokglobalshop.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
eBay；易贝,中国卖家出海,eBay成色与配件如实展示助手,https://www.ebay.com/sellercenter,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
Walmart；沃尔玛电商,中国卖家出海,Walmart规格变体视觉校对助手,https://marketplace.walmart.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
Etsy；手工电商,中国卖家出海,Etsy定制选项与制作说明图助手,https://www.etsy.com/seller-handbook,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
Mercado Libre；美客多,中国卖家出海,美客多西语葡语参数图助手,https://global-selling.mercadolibre.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
Ozon；欧众,中国卖家出海,Ozon俄语规格与装箱图助手,https://seller.ozon.ru/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
Wildberries；WB,中国卖家出海,Wildberries服饰尺码测量图助手,https://seller.wildberries.ru/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
乐天市场；Rakuten,中国卖家出海,乐天市场日语购买须知图助手,https://www.rakuten.co.jp/ec/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
Coupang；酷澎,中国卖家出海,Coupang韩语商品差异图助手,https://globalsellers.coupang.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
Shopify；独立站,中国卖家出海,Shopify商品页面图片交付助手,https://www.shopify.com/,候选官方入口；部分仅登录/JS页或未完成正文核验；执行前确认,内容适配≠原生对接；不保证开放招商
